MR,Ref
"area[city centre], name[Alimentum], familyfriendly[no], period[.]","There is a place in the city centre, Alimentum, that is not family-friendly."
"area[city centre], name[Alimentum], familyfriendly[no], period[.]","In the city centre there is a venue name Alimentum, this is not a family-friendly venue."
"name[Alimentum], familyfriendly[no], area[city centre], period[.]","Alimentum is not a family-friendly place, located in city centre."
"name[Alimentum], familyfriendly[no], area[city centre], period[.]",Alimentum is not a family-friendly arena and is located in the city centre.
"name[Alimentum], familyfriendly[no], area[city centre], period[.]",Alimentum is not a family-friendly place in the city centre.
"name[Alimentum], area[city centre], familyfriendly[no], period[.]",Alimentum in city centre is not a family-friendly place.
"name[Alimentum], familyfriendly[no], near[Burger King], area[city centre], period[.]","Alimentum is not family-friendly, and is near the Burger King in the city centre."
"near[Burger King], area[city centre], familyfriendly[no], name[Alimentum], period[.]",Near Burger King in city centre is the adult establishment Alimentum.
"name[Alimentum], familyfriendly[no], period[.], area[city centre], near[Burger King], period[.]",Alimentum is not family-friendly. Alimentum is in the city center and it is near Burger King.
"name[Alimentum], near[Burger King], area[city centre], period[.], familyfriendly[no], period[.]",Alimentum is near Burger King in the city center. Alimentum is not family-friendly.
"near[Burger King], area[city centre], name[Alimentum], familyfriendly[no], period[.]","Near the Burger King and in the city centre is Alimentum, which is not family-friendly."
"name[Alimentum], familyfriendly[no], area[city centre], near[Burger King], period[.]",Alimentum is an adult establish found in the city centre area near Burger King.
"name[Alimentum], familyfriendly[yes], area[city centre], period[.]",Alimentum is a family-friendly place in the city centre.
"area[city centre], familyfriendly[yes], name[Alimentum], period[.]",In the city centre there is a family-friendly place called Alimentum.
"area[city centre], familyfriendly[yes], name[Alimentum], period[.]",The city centre has a family-friendly restaurant named Alimentum.
"name[Alimentum], area[city centre], familyfriendly[yes], period[.]",Alimentum city centre is family-friendly
"name[Alimentum], familyfriendly[yes], area[city centre], period[.]",Alimentum is a family-friendly city centre.
"familyfriendly[yes], name[Alimentum], area[city centre], period[.]",There is a family-friendly restaurant named Alimentum in the city centre.
"name[Alimentum], familyfriendly[yes], near[Burger King], area[city centre], period[.]",Alimentum is family oriented and located near Burger King in the city centre.
"name[Alimentum], familyfriendly[yes], area[city centre], near[Burger King], period[.]",The Alimentum is a family-friendly restaurant located in the city centre near Burger King.
"area[city centre], near[Burger King], name[Alimentum], familyfriendly[yes], period[.]","Located in the city centre near Burger King, the Alimentum is a family-friendly restaurant."
"name[Alimentum], near[Burger King], area[city centre], familyfriendly[yes], period[.]","Alimentum, located near Burger King in the city centre, is family-friendly."
"near[Burger King], area[city centre], name[Alimentum], familyfriendly[yes], period[.]","Located Burger King in the city centre, Alimentum is family-friendly."
"name[Alimentum], familyfriendly[yes], area[city centre], near[Burger King], period[.]",Alimentum is family-friendly and located in the city centre near Burger King.
"name[Alimentum], familyfriendly[no], period[.]",Alimentum looks like a location where people or families aren't allowed
"name[Alimentum], familyfriendly[no], area[riverside], period[.]",Alimentum isn't family-friendly but it is in riverside.
"familyfriendly[no], area[riverside], name[Alimentum], period[.]","If you are searching for a place to go that's not family-friendly and near the riverside, Alimentum is the place for you."
"name[Alimentum], area[riverside], period[.]",Alimentum is a family-friendly living in riverside.
"name[Alimentum], area[riverside], period[.]",Alimentum is a family-friendly living in riverside.
"name[Alimentum], area[riverside], period[.], familyfriendly[no], period[.]","Alimentum, located on the river. No good for families."
"area[riverside], name[Alimentum], familyfriendly[no], period[.]","Riverside has Alimentum, which is not family-friendly."
"name[Alimentum], familyfriendly[no], area[riverside], period[.]",Alimentum is a not family-friendly place near the riverside.
"familyfriendly[no], period[.], name[Alimentum], area[riverside], period[.]","No good for families. Alimentum, close to the river."
"near[Burger King], name[Alimentum], familyfriendly[no], period[.]",Burger King is near the Alimentum which is not family friendly and located north of the City center.
"name[Alimentum], area[riverside], near[Burger King], familyfriendly[no], period[.]","Alimentum is a restaurant located in  riverside near Burger King, Alimentum is not a family-friendly restaurant."
"area[riverside], near[Burger King], name[Alimentum], familyfriendly[no], period[.]","Located off the river near Burger King, Alimentum does not allow families."
"name[Alimentum], familyfriendly[no], near[Burger King], area[riverside], period[.]",Alimentum is a non-family-friendly establishment near Burger King at the riverside.
"name[Alimentum], area[riverside], near[Burger King], familyfriendly[no], period[.]","Alimentum is a great venue located in riverside near Burger King, is not a family-friendly restaurant."
"name[Alimentum], area[riverside], near[Burger King], familyfriendly[no], period[.]",Alimentum at the riverside near Burger King is a non-family-friendly establishment.
"familyfriendly[no], name[Alimentum], near[Burger King], period[.]",Not family friendly Alimentum across from Burger King
"name[Alimentum], near[Burger King], familyfriendly[no], period[.]","Alimentum, located near Burger King, is not family-friendly."
"name[Alimentum], near[Burger King], area[riverside], period[.], familyfriendly[no], period[.]",Alimentum is located near Burger King in riverside. It is not family-friendly.
"name[Alimentum], familyfriendly[no], period[.], near[Burger King], area[riverside], period[.]",Alimentum is not family-friendly. It is located near Burger King in riverside.
"name[Alimentum], near[Burger King], familyfriendly[no], period[.]",Alimentum across from Burger King no kids
"familyfriendly[yes], name[Alimentum], area[riverside], period[.]",A kid friendly venue named Alimentum is located on the riverside.
"name[Alimentum], area[riverside], familyfriendly[yes], period[.]","Alimentum, situated by the river, is child friendly."
"name[Alimentum], familyfriendly[yes], area[riverside], period[.]",Alimentum is child friendly and is located by the river.
"name[Alimentum], familyfriendly[yes], area[riverside], period[.]",Alimentum is a family friendly place in the riverside area.
"area[riverside], familyfriendly[yes], name[Alimentum], period[.]",In the riverside area there is a restaurant that is kid friendly named Alimentum
"familyfriendly[yes], area[riverside], name[Alimentum], period[.]","For a children friendly establishment in the riverside area, try Alimentum."
